step,run_0,run_1
1001472,-2.564408737421036,-2.610981860011816
1003520,-2.564309699460864,-2.6105358969420194
1005568,-2.564619157090783,-2.610949768126011
1007616,-2.565838553756476,-2.6096082866191863
1009664,-2.5638920456171035,-2.610800353437662
1011712,-2.561894688010216,-2.6126543045043946
1013760,-2.561466212943196,-2.610968391597271
1015808,-2.560314930975437,-2.611631117388606
1017856,-2.561435957998037,-2.6112358387559653
1019904,-2.560528651624918,-2.6117626264691354
1021952,-2.561583981662989,-2.6106054287403824
1024000,-2.5613215334713457,-2.6111642468720673
1026048,-2.560337236151099,-2.611239460483193
1028096,-2.560215819999576,-2.6105526719242333
1030144,-2.560043445974588,-2.610863283649087
1032192,-2.559511661529541,-2.608887277916074
1034240,-2.5604768343269826,-2.6091122556477786
1036288,-2.559696300327778,-2.610190049186349
1038336,-2.558315945416689,-2.609714449942112
1040384,-2.559015569835901,-2.6096854720264675
1042432,-2.5585105516016484,-2.6090551134198905
1044480,-2.5563381742686038,-2.6067191123962403
1046528,-2.5558697689324616,-2.6053337387740614
1048576,-2.556650861352682,-2.604478255659342
1050624,-2.556626185402274,-2.6072012234479187
1052672,-2.554736940190196,-2.6061523549258707
1054720,-2.553764196112752,-2.60647241845727
1056768,-2.5542232867330315,-2.6064721670001747
1058816,-2.555324884876609,-2.6063765514642
1060864,-2.5562912546098238,-2.6067552659660578
1062912,-2.556878138706088,-2.6067742835730314
1064960,-2.557517062500119,-2.606261857226491
1067008,-2.556514108181,-2.6048422820866106
1069056,-2.5552244540303946,-2.6041672099381685
1071104,-2.5547313787043096,-2.604326552525163
1073152,-2.5543270822614432,-2.6023505266755818
1075200,-2.551646653562784,-2.601687369123101
1077248,-2.553506001830101,-2.600326595455408
1079296,-2.550121646001935,-2.5994064930826424
1081344,-2.546191976219416,-2.5978116292506455
1083392,-2.542839956656098,-2.597376820445061
1085440,-2.543143315985799,-2.5962745163589718
1087488,-2.5428714372217653,-2.5971094936132433
1089536,-2.540990348532796,-2.5955493945628403
1091584,-2.5401333693414925,-2.593791334703565
1093632,-2.5394044958055018,-2.5942629601806404
1095680,-2.5389386929571627,-2.591770277917385
1097728,-2.538862334564328,-2.591552869230509
1099776,-2.536372354626656,-2.591677937656641
1101824,-2.535388124361634,-2.5922106981277464
1103872,-2.5334341313689945,-2.591983389481902
1105920,-2.5313848931342364,-2.5913928266614676
1107968,-2.5300589598715306,-2.5897711485624315
1110016,-2.529824921488762,-2.5887027442455293
1112064,-2.530784505233169,-2.5881783377379177
1114112,-2.529795775562525,-2.5881480671465398
1116160,-2.5300106182694435,-2.588644959777594
1118208,-2.528871450573206,-2.5892901994287967
